id;x;y;z;time;;;
0x6733;1995;946;552;2019-05-16 10:24:06.577;24.06,6;6,577;0,108
0x6733;1981;961;0;2019-05-16 10:24:06.685;24.06,7;6,685;0,372
0x6733;2247;926;0;2019-05-16 10:24:07.057;24.07,1;7,057;0,18
0x6733;1997;955;0;2019-05-16 10:24:07.237;24.07,2;7,237;0,372
0x6733;1988;918;0;2019-05-16 10:24:07.609;24.07,6;7,609;0,184
0x6733;2236;938;0;2019-05-16 10:24:07.793;24.07,8;7,793;0,181
0x6733;2209;948;0;2019-05-16 10:24:07.974;24.08,0;7,974;0,183
0x6733;1977;925;0;2019-05-16 10:24:08.157;24.08,2;8,157;0,185
0x6733;2240;932;0;2019-05-16 10:24:08.342;24.08,3;8,342;0,178
0x6733;2113;958;0;2019-05-16 10:24:08.520;24.08,5;8,52;0,18
0x6733;1986;929;0;2019-05-16 10:24:08.700;24.08,7;8,7;0,18
0x6733;2232;942;0;2019-05-16 10:24:08.880;24.08,9;8,88;0,18
0x6733;2021;911;0;2019-05-16 10:24:09.060;24.09,1;9,06;0,192
0x6733;2227;950;0;2019-05-16 10:24:09.252;24.09,3;9,252;0,18
0x6733;2004;940;0;2019-05-16 10:24:09.432;24.09,4;9,432;0,183
0x6733;2000;958;0;2019-05-16 10:24:09.615;24.09,6;9,615;0,372
0x6733;2244;952;0;2019-05-16 10:24:09.987;24.10,0;9,987;0,181
0x6733;2212;1007;0;2019-05-16 10:24:10.168;24.10,2;10,168;0,178
0x6733;2206;960;0;2019-05-16 10:24:10.346;24.10,3;10,346;0,37
0x6733;2211;918;0;2019-05-16 10:24:10.716;24.10,7;10,716;0,182
0x6733;2242;929;0;2019-05-16 10:24:10.898;24.10,9;10,898;0,181
0x6733;1965;946;0;2019-05-16 10:24:11.079;24.11,1;11,079;0,18
0x6733;2198;965;0;2019-05-16 10:24:11.259;24.11,3;11,259;0,18
0x6733;2218;967;0;2019-05-16 10:24:11.439;24.11,4;11,439;0,374
0x6733;2180;973;0;2019-05-16 10:24:11.813;24.11,8;11,813;0,18
